SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,
1211, usp = sharing 联络 方式 主要 是 邮箱 ： em@50,2,usp,联系方式,sharing,合租,,,,,,, 联系方式 联络 方式 主要 是 邮箱 ： em@50,5,2,3,[3_ 4_ 5_ 6_ 7],[0_ 2],[1_ 8_ 9],,,,
1212, 房子 ： 是 一 个 house 。,1,house,房子,,,,,,,,, 房子 ： 是 一 个 房子 。,4,1,2,[0_ 2_ 3_ 4],[5],[1_ 6],,,,
1213, 地下室 是 dryer washer ， 以及 储藏 空间 。,1,dryer washer,烘干机，洗衣机,,,,,,,,, 地下室 是烘干机，洗衣机 ， 以及 储藏 空间 。,5,2,2,[0_ 1_ 5_ 6_ 7],[2_ 3],[4_ 8],,,,
1214, 目前 有 两 间 卧室 可以 出租 ， yearly lease preferred 。,1,yearly lease preferred,年租优先,,,,,,,,, 目前 有 两 间 卧室 可以 出租 ， 年租优先 。,7,3,2,[0_ 1_ 2_ 3_ 4_ 5_ 6],[8_ 9_ 10],[7_ 11],,,,
1215, washer and dryer ( free to use ) ， 大量 储藏 空间 。,2,washer and dryer,洗衣机，烘干机,free to use,免费使用,,,,,,, 免费使用洗衣机，烘干机) ， 大量 储藏 空间 。,3,6,4,[9_ 10_ 11],[0_ 1_ 2_ 4_ 5_ 6],[3_ 7_ 8_ 12],,,,
1216, 后院 是 deck .,1,deck,小楼,,,,,,,,, 后院 是 小楼 .,2,1,1,[0_ 1],[2],[3],,,,
1217, 房型 ： 是 一 个 house ， 里面 有 四 个 卧室 。,1,house,房子,,,,,,,,, 房型 ： 是 一 个 房子 ， 里面 有 四 个 卧室 。,9,1,3,[0_ 2_ 3_ 4_ 7_ 8_ 9_ 10_ 11],[5],[1_ 6_ 12],,,,
1218, washer dryer 在 地下室 ， 免费 实用 ；,1,washer dryer,洗衣机，烘干机,,,,,,,,, 洗衣机，烘干机 在 地下室 ， 免费 实用 ；,4,2,2,[2_ 3_ 5_ 6],[0_ 1],[4_ 7],,,,
1219, 要求 ： no smoking ， no pets ， no noisy parties .,3,no smoking,禁烟,no pets,不能有宠物,no noisy parties,不能有嗨趴,,,,, 要求 ：禁烟 ， 不能有宠物 ， 不能有嗨趴,1,7,4,[0],[2_ 3_ 5_ 6_ 8_ 9_ 10],[1_ 4_ 7_ 11],,,,
1220, 也 可以 email 联系 。,1,email,邮件,,,,,,,,, 也 可以 邮件 联系 。,3,1,1,[0_ 1_ 3],[2],[4],,,,
1221, 我 也 可以 pm 把 email 给 您 。,2,pm,下午,email,邮件,,,,,,, 我 也 可以 下午把 邮件 给 您 。,6,2,1,[0_ 1_ 2_ 4_ 6_ 7],[3_ 5],[8],,,,
1223, 好 的 ， 我 pm 把 email 给 你 。,2,pm,下午,email,邮件,,,,,,, 我 也 可以 下午把 邮件 给 您 。,6,2,2,[0_ 1_ 3_ 5_ 7_ 8],[4_ 6],[2_ 9],,,,
1224, 好的 ， 我 pm 把 email 给 你 。,2,pm,下午,email,邮件,,,,,,, 我 也 可以 下午把 邮件 给 您 。,5,2,2,[0_ 2_ 4_ 6_ 7],[3_ 5],[1_ 8],,,,
1225, 匹兹堡 独 栋 house 两 间 卧室 出租 。,1,house,房子,,,,,,,,, 匹兹堡 独 栋 房子 两 间 卧室 出租 。,7,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7],[3],[8],,,,
1226, house 地处 squirrel hill ， 这个 区域 非常 安全 。,2,house,房子,squirrel hill,松鼠山,,,,,,, 房子 地处 松鼠山， 这个 区域 非常 安全 。,5,3,2,[1_ 5_ 6_ 7_ 8],[0_ 2_ 3],[4_ 9],,,,
1227, house 门口 免费 停车 。,1,house,房子,,,,,,,,, 房子 门口 免费 停车 。,3,1,1,[1_ 2_ 3],[0],[4],,,,
1228, topic : 出租 客厅 ！,1,topic,招租,,,,,,,,, 招租 : 出租 客厅 ！,2,1,2,[2_ 3],[0],[1_ 4],,,,
1229, 房子 全 地毯 ， 客厅 有 暖气 ， 有 窗户 ， 有 大 closet ， 不 临街 。,1,closet,衣橱,,,,,,,,, 房子 全 地毯 ， 客厅 有 暖气 ， 有 窗户 ， 有 大 衣橱 ， 不 临街 。,12,1,5,[0_ 1_ 2_ 4_ 5_ 6_ 8_ 9_ 11_ 12_ 15_ 16],[13],[3_ 7_ 10_ 14_ 17],,,,
1230, 因为 两 个 房间 离 客厅 都 很 远 ， 中间 隔 有 dining room ， kitchen 还有 bathroom 相隔 ， 所以 互相 干扰 不 大 。,3,dining room,餐厅,kitchen,厨房,bathroom,淋浴间,,,,, 因为 两 个 房间 离 客厅 都 很 远 ， 中间 隔 有 餐厅 ， 厨房 还有 淋浴间 相隔 ， 所以 互相 干扰 不 大 。,19,4,4,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 17_ 19_ 21_ 22_ 23_ 24_ 25],[13_ 14_ 16_ 18],[9_ 15_ 20_ 26],,,,
1231, 现 一 卧室 住 pitt 本科 女生 ， 另 一 卧室 住 pitt phd 男生 。,2,pitt,匹兹堡,pitt phd,匹兹堡在读博士生,,,,,,, 现 一 卧室 住 匹兹堡 本科 女生 ， 另 一 卧室 住 匹兹堡在读博士生男生 。,11,3,2,[0_ 1_ 2_ 3_ 5_ 6_ 8_ 9_ 10_ 11_ 14],[4_ 12_ 13],[7_ 15],,,,
1232, 是 apartment building ， 有 很 好 的 管理 公司 。,1,apartment building,公寓,,,,,,,,, 是 公寓 ， 有 很 好 的 管理 公司 。,7,2,2,[0_ 4_ 5_ 6_ 7_ 8_ 9],[1_ 2],[3_ 10],,,,
1233, 路口 有 carnegie 图书馆 ， 学习 方便 。,1,carnegie,卡内基,,,,,,,,, 路口 有 卡内基 图书馆 ， 学习 方便 。,5,1,2,[0_ 1_ 3_ 5_ 6],[2],[4_ 7],,,,
1234, 房间 不 大 但是 很 cozy with big closet 。,1,cozy with big closet,紧凑，大衣橱,,,,,,,,, 房间 不 大 但是 很 紧凑，大衣橱,5,4,1,[0_ 1_ 2_ 3_ 4],[5_ 6_ 7_ 8],[9],,,,
1235, ， 是 一 栋 house ， 三 个 房间 加 一 个 阁楼 ， 两 个 bathroom 。,2,house,房子,bathroom,厕所,,,,,,, ， 是 一 栋 房子 ， 三 个 房间 加 一 个 阁楼 ， 两 个 厕所 。,12,2,4,[1_ 2_ 3_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 14_ 15],[4_ 16],[0_ 5_ 13_ 17],,,,
1236, 已 租 up up available up !,1,up up available up,空闲,,,,,,,,, 已 租空闲,2,4,1,[0_ 1],[2_ 3_ 4_ 5],[6],,,,
1237, 有 一 个 closet 是 完全 给 你 用 的 。,1,closet,衣橱,,,,,,,,, 有 一 个 衣橱 是 完全 给 你 用 的 。,9,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9],[3],[10],,,,
1238, o ( ∩_∩ ) o 谢谢 ！,2,o,表情符号,o,表情符号,,,,,,, 谢谢 ！,1,2,4,[5],[0_ 4],[1_ 2_ 3_ 6],,,,
1239, 而 college ave 上 没有 公交 经过 ， 所以 特别 安静 。,1,college ave,大学街,,,,,,,,, 而 大学街 上 没有 公交 经过 ， 所以 特别 安静 。,8,2,2,[0_ 3_ 4_ 5_ 6_ 8_ 9_ 10],[1_ 2],[7_ 11],,,,
1240, 联系 方式 : email : em@51,1,email,邮件,,,,,,,,, 联系 方式 : 邮件 : em@51,2,1,3,[0_ 1],[3],[2_ 4_ 5],,,,
1241, 超大 living room 出租 ， 有 一 个 很 大 的 窗户 ， 通风 明亮 ， 对面 就是 教堂 ， 风景 和 采光 都 是 一流 。,1,living room,客厅,,,,,,,,, 超大客厅 出租 ， 有 一 个 很 大 的 窗户 ， 通风 明亮 ， 对面 就是 教堂 ， 风景 和 采光 都 是 一流 。,20,2,5,[0_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 13_ 14_ 16_ 17_ 18_ 20_ 21_ 22_ 23_ 24_ 25],[1_ 2],[4_ 12_ 15_ 19_ 26],,,,
1242, bathroom 淋浴 暖气 齐全 。,1,bathroom,厕所,,,,,,,,, 厕所 淋浴 暖气 齐全 。,3,1,1,[1_ 2_ 3],[0],[4],,,,
1243, 绝对 是 squirrel hill 最 好 的 house 了 ， 没有 之一 ！,2,squirrel hill,松鼠山,house,房子,,,,,,, 绝对 是 松鼠山 最 好 的 房子 了 ， 没有 之一 ！,8,3,2,[0_ 1_ 4_ 5_ 6_ 8_ 10_ 11],[2_ 3_ 7],[9_ 12],,,,
1244, 暑假 要 来 pittsburgh 实习 ， 从 5.,1,pittsburgh,匹兹堡,,,,,,,,, 暑假 要 来 匹兹堡 实习 ， 从 5.,5,1,2,[0_ 1_ 2_ 4_ 6],[3],[5_ 7],,,,
1245, 本人 是 cfa 的 研究生 ， 项目 为 一 年 半 。,1,cfa,大学名称,,,,,,,,, 本人 是 大学名称 的 研究生 ， 项目 为 一 年 半 。,9,1,2,[0_ 1_ 3_ 4_ 6_ 7_ 8_ 9_ 10],[2],[5_ 11],,,,
1246, 有 dish washer ， oven.,1,dish washer,洗碗机,,,,,,,,, 有 洗碗机 ， 微波炉.,1,2,2,[0],[1_ 2],[3_ 4],,,,
1247, 床 是 double size 。,1,double size,双人床,,,,,,,,, 床 是 双人床 。,2,2,1,[0_ 1],[2_ 3],[4],,,,
1248, email 联系 em@52,1,email,邮件,,,,,,,,, 邮件 联系 em@52,1,1,1,[1],[0],[2],,,,
1249, 交通 方便 ， 学校 shuttle 站 就 位于 公寓 门口 ， 步行 不 需 一 分钟 .,1,shuttle,通勤公交,,,,,,,,, 交通 方便 ， 学校 通勤公交 站 就 位于 公寓 门口 ， 步行 不 需 一 分钟 .,13,1,3,[0_ 1_ 3_ 5_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 15],[4],[2_ 10_ 16],,,,
1250, 晚上 escort 直接 送到 公寓 门口 .,1,escort,护送,,,,,,,,, 晚上 护送 直接 送到 公寓 门口 .,5,1,1,[0_ 2_ 3_ 4_ 5],[1],[6],,,,
1251, 步行 五 分钟 可 到 giant eagle ， 步行 十 分钟 可 到 target ， trader joe ' s .,4,giant eagle,捷安特鹰,target,塔吉特,trader joe,乔,s,的商铺,,, 步行 五 分钟 可 到 捷安特鹰 ， 步行 十 分钟 可 到 塔吉特 ， 乔,10,6,4,[0_ 1_ 2_ 3_ 4_ 8_ 9_ 10_ 11_ 12],[5_ 6_ 13_ 15_ 16_ 18],[7_ 14_ 17_ 19],,,,
1252, 如果 有 兴趣 ， 请 用 以下 方式 与 我 联系 ： email : em@53,1,email,邮件,,,,,,,,, 如果 有 兴趣 ， 请 用 以下 方式 与 我 联系 ： 邮件 : em@53,10,1,4,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9_ 10],[12],[3_ 11_ 13_ 14],,,,
1253, 三 个 closet ， 衣服 肯定 够 放 。,1,closet,衣橱,,,,,,,,, 三 个 衣橱 ， 衣服 肯定 够 放 。,6,1,2,[0_ 1_ 4_ 5_ 6_ 7],[2],[3_ 8],,,,
1254, 地下室 有 洗衣机 dryer 免费 实用 。,1,dryer,烘干机,,,,,,,,, 地下室 有 洗衣机 烘干机 免费 实用 。,5,1,1,[0_ 1_ 2_ 4_ 5],[3],[6],,,,
1255, 你 是 一 个 同学 租 ， 还是 跟 几 个 同学 一起 把 house 租 下来 呢 ？,1,house,房子,,,,,,,,, 你 是 一 个 同学 租 ， 还是 跟 几 个 同学 一起 把 房子 租 下来 呢 ？,16,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 15_ 16_ 17],[14],[6_ 18],,,,
1256, 抱歉 是 no pets no smoking 的 policy .,2,no pets no smoking,不要宠物禁言,policy,政策,,,,,,, 抱歉 是 不要宠物禁言 的政策.,3,5,1,[0_ 1_ 6],[2_ 3_ 4_ 5_ 7],[8],,,,
1257, html 不 是 病毒,1,html,短讯,,,,,,,,, 短讯不 是 病毒,3,1,0,[1_ 2_ 3],[0],[],,,,
1258, 出门 就 是 cvs ， 很 方便 。,1,cvs,西维斯,,,,,,,,, 出门 就 是 西维斯 ， 很 方便 。,5,1,2,[0_ 1_ 2_ 5_ 6],[3],[4_ 7],,,,
1259, 欢迎 联系 我 ： 电话 pn-14 ， email ： em@54,1,email,邮件,,,,,,,,, 欢迎 联系 我 ： 电话 pn-14 ， 邮件 ： em@54,4,1,5,[0_ 1_ 2_ 4],[7],[3_ 5_ 6_ 8_ 9],,,,
1260, 家 附近 还有 giant eagle ， 走路 大概 五 分钟 ， 生活 购物 轻松 方便 。,1,giant eagle,捷安特鹰,,,,,,,,, 家 附近 还有 捷安特鹰 ， 走路 大概 五 分钟 ， 生活 购物 轻松 方便 。,11,2,3,[0_ 1_ 2_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14],[3_ 4],[5_ 10_ 15],,,,
1261, 个人 认为 这 真的 应该 是 匹 村 性价比 最高 的 房子 了 ， 最 重要 的 是 ， 房东 超级 nice ！,1,nice,好,,,,,,,,, 个人 认为 这 真的 应该 是 匹 村 性价比 最高 的 房子 了 ， 最 重要 的 是 ， 房东 超级 好！,19,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 14_ 15_ 16_ 17_ 19_ 20],[21],[13_ 18_ 22],,,,
1262, 注明 ： 租房 up up 一下,1,up up,支持支持,,,,,,,,, 注明 ： 租房 支持支持 一下,3,2,1,[0_ 2_ 5],[3_ 4],[1],,,,
1263, html 如 有 兴趣 ， 请 phone : 三一二-9二9-9五二6email : em@55,2,html,短讯,phone,手机,,,,,,, 短讯 如 有 兴趣 ， 请 手机 : 三一二-9二9-9五二6email : em@55,4,2,5,[1_ 2_ 3_ 5],[0_ 6],[4_ 7_ 8_ 9_ 10],,,,
1264, 附近 有 一 个 playground ， 可以 打 篮球 ， 羽毛球 ， 网球 等等 。,1,playground,操场,,,,,,,,, 附近 有 一 个 操场 ， 可以 打 篮球 ， 羽毛球 ， 网球 等等 。,10,1,4,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 10_ 12_ 13],[4],[5_ 9_ 11_ 14],,,,
1265, 周围 环境 : 非常 安全 ， 安静 物业 : meyers management 。,1,meyers management,麦耶斯管理,,,,,,,,, 周围 环境 : 非常 安全 ， 安静 物业 : 麦耶斯管理 。,6,2,4,[0_ 1_ 3_ 4_ 6_ 7],[9_ 10],[2_ 5_ 8_ 11],,,,
1266, managing staff 热情 ， 问题 处理 快速 。,1,managing staff,管理人员,,,,,,,,, 管理人员热情 ， 问题 处理 快速 。,4,2,2,[2_ 4_ 5_ 6],[0_ 1],[3_ 7],,,,
1267, 去 waterfront 特别 方便 。,1,waterfront,前水,,,,,,,,, 去 前水 特别 方便 。,3,1,1,[0_ 2_ 3],[1],[4],,,,
1268, 客厅 和 卧室 都 非常 大 ， nicely-furnished ， everything is included !,1,everything is included,精装,,,,,,,,, 客厅 和 卧室 都 非常 大,6,3,4,[0_ 1_ 2_ 3_ 4_ 5],[9_ 10_ 11],[6_ 7_ 8_ 12],,,,
1269, 步行 2-3 分钟 可 到 giant eagle.,1,giant,捷安特,,,,,,,,, 步行 2-3 分钟 可 到 捷安特.,4,1,2,[0_ 2_ 3_ 4],[5],[1_ 6],,,,
1270, 本人 是 女生 ， 来 读 master ， 爱 干净 ， 求 一 室 一 厅 公寓 ， 离 学校 步行 范围 内 ， 如果 带 家具 最好 。,1,master,硕士,,,,,,,,, 本人 是 女生 ， 来 读 硕士 ， 爱 干净 ， 求 一 室 一 厅 公寓 ， 离 学校 步行 范围 内 ， 如果 带 家具 最好 。,22,1,6,[0_ 1_ 2_ 4_ 5_ 8_ 9_ 11_ 12_ 13_ 14_ 15_ 16_ 18_ 19_ 20_ 21_ 22_ 24_ 25_ 26_ 27],[6],[3_ 7_ 10_ 17_ 23_ 28],,,,
1271, 其他 utility 按 人头 平分 。,1,utility,使用,,,,,,,,, 其他 使用 按 人头 平分 。,4,1,1,[0_ 2_ 3_ 4],[1],[5],,,,
1272, 其他 另外 本人 去年 暑假 就 来 参加 了 acc ， 如果 是 参加 acc 的 同学 ， 我 这里 可以 无偿 提供 教材 和 资料 。,2,acc,会计,acc,会计,,,,,,, 其他 另外 本人 去年 暑假 就 来 参加 了 会计 ， 如果 是 参加 会计 的 同学 ， 我 这里 可以 无偿 提供 教材 和 资料 。,22,2,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 11_ 12_ 13_ 15_ 16_ 18_ 19_ 20_ 21_ 22_ 23_ 24_ 25],[9_ 14],[10_ 17_ 26],,,,
1273, 公寓 位于 n neville st .,1,n neville st,被内维尔街,,,,,,,,, 公寓 位于被内维尔街 .,2,3,1,[0_ 1],[2_ 3_ 4],[5],,,,
1274, 所有 家具 用品 都 包 ， 包括 paper napkin ， paper towel ， 厨房 用具 ， 洗浴 永平 随便 用 。,2,paper napkin,纸巾,paper towel,厨房纸,,,,,,, 所有 家具 用品 都 包 ， 包括 纸巾 ， 厨房纸 ， 厨房 用具 ， 洗浴 永平 随便 用 。,12,4,5,[0_ 1_ 2_ 3_ 4_ 6_ 13_ 14_ 16_ 17_ 18_ 19],[7_ 8_ 10_ 11],[5_ 9_ 12_ 15_ 20],,,,
1275, 联系 方式 ： email ： em@56,1,email,邮件,,,,,,,,, 联系 方式 ： 邮件 ： em@56,2,1,3,[0_ 1],[3],[2_ 4_ 5],,,,
1276, g1dfa4c7c0_03 是 google drive 共享 ， 请 放心 浏览 。,1,google drive,谷歌硬盘,,,,,,,,, g1dfa4c7c0_03 是 谷歌硬盘 共享 ， 请 放心 浏览 。,5,2,3,[1_ 4_ 6_ 7_ 8],[2_ 3],[0_ 5_ 9],,,,
1277, html 有意 请 短信 pn-15 ， 或者 邮件 联系 em@57,1,html,短讯,,,,,,,,, 短讯 有意 请 短信 pn-15 ， 或者 邮件 联系 em@57,6,1,3,[1_ 2_ 3_ 6_ 7_ 8],[0],[4_ 5_ 9],,,,
1278, 主 卧室 ( bedroom ) 含 独立 卫生间 ： 5/15-6/30,1,bedroom,卧室,,,,,,,,, 主 卧室 ( 卧室 ) 含 独立 卫生间 ： 5/15-6/30,5,1,4,[0_ 1_ 5_ 6_ 7],[3],[2_ 4_ 8_ 9],,,,
1279, floor plan 已 附 。,1,floor plan,户型图,,,,,,,,, 户型图 已 附 。,2,2,1,[2_ 3],[0_ 1],[4],,,,
1280, 交通 便利 ， shuttle ， escort ， 公交 都 有 经过 ；,2,shuttle,公交,escort,护送,,,,,,, 交通 便利 ， 公交 ， 护送 ， 公交 都 有 经过 ；,6,2,4,[0_ 1_ 7_ 8_ 9_ 10],[3_ 5],[2_ 4_ 6_ 11],,,,
1281, managing staff 热情 ， 问题 处理 快速 。,1,managing staff,管理人员,,,,,,,,, 管理人员热情 ， 问题 处理 快速 。,4,2,2,[2_ 4_ 5_ 6],[0_ 1],[3_ 7],,,,
1282, 客厅 里 有 沙发 和 桌子 ， 空间 很大 你 都 可以 开 party 。,1,party,聚会,,,,,,,,, 客厅 里 有 沙发 和 桌子 ， 空间 很大 你 都 可以 开 聚会 。,12,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8_ 9_ 10_ 11_ 12],[13],[6_ 14],,,,
1283, house 有 三 个 bedroom ， 出租 其中 一 个 。,2,house,房间,bedroom,卧室,,,,,,, 房间 有 三 个 卧室 ， 出租 其中 一 个 。,7,2,2,[1_ 2_ 3_ 6_ 7_ 8_ 9],[0_ 4],[5_ 10],,,,
1284, 一共 有 两 个 可以 洗澡 的 bathroom 。,1,bathroom,厕所,,,,,,,,, 一共 有 两 个 可以 洗澡 的 厕所 。,7,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6],[7],[8],,,,
1285, 附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 frick park ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,1,frick park,弗莱克公园,,,,,,,,, 附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 弗莱克公园 ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,28,2,4,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 15_ 16_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 25_ 26_ 27_ 28_ 29_ 30_ 31_ 32],[12_ 13],[10_ 14_ 24_ 33],,,,
1286, 房子 离 公交 车站 和 giant eagle 都 只要 几 分钟 距离 。,1,giant eagle,捷安特鹰,,,,,,,,, 房子 离 公交 车站 和 捷安特鹰 都 只要 几 分钟 距离 。,10,2,1,[0_ 1_ 2_ 3_ 4_ 7_ 8_ 9_ 10_ 11],[5_ 6],[12],,,,
1287, 房子 是 walnut capital 家 的 ， 服务 很 好 ， 冬天 暖气 很 足 ， 夏天 也 很 凉快 。,1,walnut capital,坚果中心,,,,,,,,, 房子 是 坚果中心 家 的 ， 服务 很 好 ， 冬天 暖气 很 足 ， 夏天 也 很 凉快 。,15,2,4,[0_ 1_ 4_ 5_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 16_ 17_ 18_ 19],[2_ 3],[6_ 10_ 15_ 20],,,,
1288, 吃饭 也 很 方便 ， 到 walnut street 和 craig street 只要 步行 ， 这 两 条 接 都 有 很 棒 的 餐厅 和 商店 还有 超市 。,2,walnut street,坚果街,craig street,克莱格街,,,,,,, 吃饭 也 很 方便 ， 到 坚果中心 和 克莱格街只要 步行 ， 这 两 条 接 都 有 很 棒 的 餐厅 和 商店 还有 超市 。,22,4,3,[0_ 1_ 2_ 3_ 5_ 8_ 11_ 12_ 14_ 15_ 16_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 24_ 25_ 26_ 27],[6_ 7_ 9_ 10],[4_ 13_ 28],,,,
1289, cell : pn-16 谢谢 啦,1,cell,电话,,,,,,,,, 电话 : pn-16 谢谢 啦,2,1,2,[3_ 4],[0],[1_ 2],,,,
1290, html 有意 请 短信 pn-15 ， 或者 邮件 联系 em@57,1,html,短讯,,,,,,,,, 短讯 有意 请 短信 pn-15 ， 或者 邮件 联系 em@57,6,1,3,[1_ 2_ 3_ 6_ 7_ 8],[0],[4_ 5_ 9],,,,
1291, 客厅 面积 相当 大 ， 摆 完 桌子 书架 柜子 依然 绰绰有余 ， 适合 聚会 开 party 。,1,party,聚会,,,,,,,,, 客厅 面积 相当 大 ， 摆 完 桌子 书架 柜子 依然 绰绰有余 ， 适合 聚会 开 聚会 。,14,1,3,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 13_ 14_ 15],[16],[4_ 12_ 17],,,,
1292, 房子 采用 节能 设计 ， utilities 相比 很多 其他 房子 便宜 。,1,utilities,配套设施,,,,,,,,, 房子 采用 节能 设计 ， 配套设施 相比 很多 其他 房子 便宜 。,9,1,2,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 9_ 10],[5],[4_ 11],,,,
1293, 回家 除了 公交 外 可 选择 shuttle c route 。,1,shuttle c route,c线公交,,,,,,,,, 回家 除了 公交 外 可 选择 c线公交。,6,3,1,[0_ 1_ 2_ 3_ 4_ 5],[6_ 7_ 8],[9],,,,
1294, 虽然 离 繁华 的 murray 和 shady ave 比较 近 ， 但 darlington rd 车 很少 ， 外面 基本 没有 噪音 。,3,murray,默里,shady ave,阴影街,darlington rd,大灵顿路,,,,, 虽然 离 繁华 的 默里 和 阴影街比较 近 ， 但 大灵顿路车 很少 ， 外面 基本 没有 噪音 。,14,5,3,[0_ 1_ 2_ 3_ 5_ 8_ 9_ 11_ 14_ 15_ 17_ 18_ 19_ 20],[4_ 6_ 7_ 12_ 13],[10_ 16_ 21],,,,
1295, apartmenttypeid=309 位置 : aiken 和 center 的 交叉 路口 .,2,aiken,艾肯,center,中央街,,,,,,, apartmenttypeid=309 位置 : 艾肯 和 中央街 的 交叉 路口 .,5,2,3,[1_ 4_ 6_ 7_ 8],[3_ 5],[0_ 2_ 9],,,,
1296, 管理 : mozart management 管理 .,1,mozart management,莫扎特管理,,,,,,,,, 管理 : 莫扎特管理 管理 .,2,2,2,[0_ 4],[2_ 3],[1_ 5],,,,
1297, 家具 : closet 一 间 基本 你 自己 一 个 人 使用 .,1,closet,衣橱,,,,,,,,, 家具 : 衣橱 一 间 基本 你 自己 一 个 人 使用 .,10,1,2,[0_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 11],[2],[1_ 12],,,,
1298, 去 waterfront 特别 方便 。,1,waterfront,前水,,,,,,,,, 去 前水 特别 方便 。,3,1,1,[0_ 2_ 3],[1],[4],,,,
1299, house 有 三 个 bedroom ， 出租 其中 一 个 。,2,house,房子,bedroom,卧室,,,,,,, 房子 有 三 个 卧室 ， 出租 其中 一 个 。,7,2,2,[1_ 2_ 3_ 6_ 7_ 8_ 9],[0_ 4],[5_ 10],,,,
1300, 一共 有 两 个 可以 洗澡 的 bathroom 。,1,bathroom,淋浴间,,,,,,,,, 一共 有 两 个 可以 洗澡 的 淋浴间 。,7,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6],[7],[8],,,,
1301, 附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 frick park ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,1,frick park,弗莱克公园,,,,,,,,, 附近 还 有 一 个 特别 大 的 森林 公园 ， 叫 弗莱克公园 ， 我 夏天 经常 到 那里 去 和 朋友 散步 ， 也 在 大 草坪 上 飞 遥控 飞机 。,28,2,4,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 15_ 16_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 25_ 26_ 27_ 28_ 29_ 30_ 31_ 32],[12_ 13],[10_ 14_ 24_ 33],,,,
1302, 所有 家具 用品 都 包 ， 包括 paper napkin ， paper towel ， 厨房 用具 ， 洗浴 永平 随便 用 。,2,paper napkin,纸巾,paper towel,厨房纸,,,,,,, 所有 家具 用品 都 包 ， 包括 纸巾 ， 厨房纸， 厨房 用具 ， 洗浴 永平 随便 用 。,12,4,5,[0_ 1_ 2_ 3_ 4_ 6_ 13_ 14_ 16_ 17_ 18_ 19],[7_ 8_ 10_ 11],[5_ 9_ 12_ 15_ 20],,,,
1303, : 我 没 研究 出来 咋 在 这里 付 图片 ， 想 看 房间 照片 的 欢迎 email 或者 短信 我 ！,1,email,邮件,,,,,,,,, : 我 没 研究 出来 咋 在 这里 付 图片 ， 想 看 房间 照片 的 欢迎 邮件 或者 短信 我 ！,18,1,3,[1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 15_ 16_ 18_ 19_ 20],[17],[0_ 10_ 21],,,,
1304, pdf 家具 齐全 ， 可 拎包 入住 。,1,pdf,文件格式,,,,,,,,, 文件格式 家具 齐全 ， 可 拎包 入住 。,5,1,2,[1_ 2_ 4_ 5_ 6],[0],[3_ 7],,,,
1305, apartmenttypeid=309 位置 : aiken 和 center 的 交叉 路口 .,2,aiken,艾肯,center,中央,,,,,,, apartmenttypeid=309 位置 : 艾肯 和 中央 的 交叉 路口 .,5,2,3,[1_ 4_ 6_ 7_ 8],[3_ 5],[0_ 2_ 9],,,,
