SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,CodeSwitch7,Translation7,TranslatedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,AddedWordList
297,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,[2_9],[6_10],
298,价格 ： $300 / 月 + utilities 费用 。,2,utilities,水电气,,,,,,,,,,,,,价格 ： $300 / 月 + 水电气 费用 。,[6],[1_3_5_8],
299,rich neighborhood ， 非常 安全 ， 旁边 就 是 公园 ， 环境 很 好 很 安静 。,2,rich neighborhood,富人区,,,,,,,,,,,,,富人区， 非常 安全 ， 旁边 就 是 公园 ， 环境 很 好 很 安静 。,[0_1],[2_5_10_16],
300,trader joe's 和 target 更 是 在 步行 范围 内 。,3,trader,交易员,target,塔吉特,,,,,,,,,,,缺的舅 和 塔吉特 更 是 在 步行 范围 内 。,[0_3],[10],
301,非常 便利 的 位置 ， 适合 summer,2,summer,暑假,,,,,,,,,,,,,非常 便利 的 位置 ， 适合 暑假,[6],[4],
302,【 吃 货 福音 】 附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,4,sichuan gourmet,府河人家,every day noodle,天天 见面 ,panda,熊猫,giant eagle ， ,大老鹰 ， ,,,,,,,【 吃 货 福音 】 附近 有 府河人家 ， 台湾 味 ， 天天 见面  ， 各 种 小吃 ， 以及 中 超 熊猫 ， 大老鹰 。,[7_8_13_14_15_24_26_27],[0_4_9_12_16_20_25_28],
303,物业 是 mozart ， 房间 维修 处理 非常 及时 。,2,mozart,莫扎特,,,,,,,,,,,,,物业 是 莫扎特 ， 房间 维修 处理 非常 及时 。,[2],[3_9],
304,utility : 自理 （ 约 70-100 / 月 ）,2,utility,水电气,,,,,,,,,,,,,水电气 : 自理 （ 约 70-100 / 月 ）,[0],[1_3_6_8],
305,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区.,[2_9],[6_10],
306,有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， email ： em@16,2,email,电子邮件,,,,,,,,,,,,,有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， 电子邮箱 ： em@16,[10],[4_6_8_9_11_12],
307,附近 有 giant eagle ， trader joe ' s 以及 target ， 步行 十 分钟 便 可 到达 ， 生活 上 也 十分 方便 。,3,giant eagle,大老鹰,trader joe ， s ' target,缺德舅 ， s ' 塔吉特,,,,,,,,,,,附近 有 大老鹰 ， 缺德舅 以及 塔吉特 ， 步行 十 分钟 便 可 到达 ， 生活 上 也 十分 方便 。,[2_3_5_6_8_10],[4_7_11_18_24],
308,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区.,[2_9],[6_10],
309,简单 介绍 一下 oak hill apt ！,2,oak hill apt,橡树山公寓,,,,,,,,,,,,,简单 介绍 一下 橡树山公寓 ！,[3_4_5],[6],
310,apt 隶属 franklin west 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决 。,3,apt,公寓,franklin west,西富兰克林,,,,,,,,,,,公寓 隶属西富兰克林 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决 。,[0_2_3],[5_9_17],
311,附近 超市 有 whole foods ， target ， giant eagle ， trader joe ， 都 是 走路 十 分钟 左右 。,2,whole foods,全食,target ， giant eagle ， trader joe ， ,塔吉特 ， 大老鹰 ， 缺德舅 ， ,,,,,,,,,,,附近 超市 有 全食 ， 塔吉特 ， 大老鹰 ， 缺德舅 ， 都 是 走路 十 分钟 左右 。,[3_4_6_8_9_11_12],[5_7_10_13_20],
312,还有 很多 知名 餐厅 ， 例如 noodle head ， spoon 等等 ， 吃喝 不 愁 。,2,noodle head,面头,spoon ， ,勺子 ， ,,,,,,,,,,,还有 很多 知名 餐厅 ， 例如 面头 ， 勺子 等等 ， 吃喝 不 愁 。,[6_7_9],[4_8_11_15],
313,manager 非常 好 说话 ；,2,manager,物管,,,,,,,,,,,,,物管 非常 好 说话 ；,[0],[4],
314,现在 房间 还 是 available,2,available,有效,,,,,,,,,,,,,现在 房间 还 是有效,[4],,
315,欢迎 查询 ： email : em@17,2,email,电子邮件,,,,,,,,,,,,,欢迎 查询 ： 电子邮箱 : em@17,[3],[2_4_5],
316,有 pet 可以 商量,2,pet,宠物,,,,,,,,,,,,,有 宠物可以 商量,[1],,
317,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
318,大家 一起 share 厨房 。,2,share,共享,,,,,,,,,,,,,大家 一起 共享 厨房 。,[2],[4],
319,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,2,young professional,年轻教授,,,,,,,,,,,,,我 是 刚 毕业 没 多久 的 年轻教授， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,[7_8],[9_13_20],
320,房间 full size 床 非常 舒适 。,2,full size,全尺寸大小,,,,,,,,,,,,,房间 全尺寸大小床 非常 舒适 。,[1_2],[6],
321,租户 仅限 gg mm 不 可以,2,gg mm,哥哥妹妹,,,,,,,,,,,,," ""租户 仅限 哥哥",[2_3],,
322,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
323,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
324,如果 感 兴趣 ， 请 通过 email 联系 em@11,2,email,电子邮件,,,,,,,,,,,,,如果 感 兴趣 ， 请 通过 电子邮件 联系 em@11,[6],[3_8],
325,房型 ： 非常 新 的 house,2,house,住宅,,,,,,,,,,,,,房型 ： 非常 新 的 独栋住宅,[5],[1],
326,有 pet 可以 商量,2,pet,宠物,,,,,,,,,,,,,有 宠物可以 商量,[1],,
327,从 「 现在 」 开始 租 ， 直接 和 manager 签 合同 ！,2,manager,经理,,,,,,,,,,,,,从 「 现在 」 开始 租 ， 直接 和经理 签 合同 ！,[9],[1_3_6_12],
328,地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,2,greenfield,格林菲尔德,,,,,,,,,,,,,地处 格林菲尔德 ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,[1],[2_6_9],
329,有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， email ： em@16,2,email,电子邮件,,,,,,,,,,,,,有意 者 可 联系 ， 电话 pn-8 或 pn-9 ， 电子邮件 ： em@16,[10],[4_6_8_9_11_12],
330,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
331,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
332,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
333,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
334,up up up 保持 关注 哦,2,up up up,顶顶顶,,,,,,,,,,,,,顶顶顶保持 关注 哦,[0_1_2],,
335,房型 ： house,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅,[2],[1],
336,有 pet 可以 商量,2,pet,宠物,,,,,,,,,,,,,有宠物可以 商量,[1],,
337,房东 也 很 nice 。,2,nice,好,,,,,,,,,,,,,房东 也 很 好。,[3],[4],
338,房子 共 三 层 ， 出租 的 是 二 楼 的 bedroom ， 二 楼 有 独立 厨房 和 卫生间 。,2,bedroom,卧室,,,,,,,,,,,,,房子 共 三 层 ， 出租 的 是 二 楼 的 卧室 ， 二 楼 有 独立 厨房 和 卫生间 。,[11],[4_12_20],
339,五 分钟 步行 到 54，71ac 车站 ， 周边 有 giant eagle ， cvs ， dollar general ， whole foods 等 超市 ， 生活 条件 便利 。,2,giant eagle,大老鹰,cvs ， dollar general ， whole foods ， ,超市名 ， 达乐公司 ， 全食 ， ,,,,,,,,,,,五 分钟 步行 到 54，71ac 车站 ， 周边 有 大老鹰 ， cvs(超市名) ， dollar general ， whole foods 等 超市 ， 生活 条件 便利 。,[9_10_12_14_15_17_18],[6_11_13_16_21_25],
340,房租 是 $500 ， 包 水电 暖 网 以及 你 能 想到 的 一切 ， 房东 夫妇 人 非常 nice ， 有 什么 问题 随时 可以 给 他们 打 电话 求助 。,2,nice,好,,,,,,,,,,,,,房租 是 $500 ， 包 水电 暖 网 以及 你 能 想到 的 一切 ， 房东 夫妇 人 非常好 ， 有 什么 问题 随时 可以 给 他们 打 电话 求助 。,[19],[3_14_20_31],
341,房子 离 frick park 仅 两 个 block ， 去 公园 里 运动 非常 方便 。,3,frick park,弗里克公园,block,街区,,,,,,,,,,,房子 离 弗里克公园仅 两 个 街区 ， 去 公园 里 运动 非常 方便 。,[2_3_7],[8_15],
342,简单 介绍 一下 oak hill apt ！,2,oak hill apt,橡树山公寓,,,,,,,,,,,,,简单 介绍 一下橡树山公寓！,[3_4_5],[6],
343,地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,2,greenfield,格林菲尔德,,,,,,,,,,,,,地处 格林菲尔德， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,[1],[2_6_9],
344,距离 cvs 5-10 分钟 ；,2,cvs,超市名,,,,,,,,,,,,,距离 cvs(超市名) 5-10 分钟 ；,[1],[4],
345,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
346,楼层 高度 适中 ， 背 对 north craig st 。,2,north craig st,北克列戈街,,,,,,,,,,,,,楼层 高度 适中 ， 背 对 北克列戈街 。,[6_7_8],[3_9],
347,晚上 ， 有 学校 escort 直达 门口 。,2,escort,护送车,,,,,,,,,,,,,晚上 ， 有 学校 护送车 直达 门口 。,[4],[1_7],
348,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,客厅,dining room ， ,餐厅 ， ,,,,,,,,,,,户型 ： 一 楼 是 超大 客厅 ，餐厅及 厨房 ；,[6_7_9_10],[1_8_13],
349,up 一下 up up up up,3,up,顶,up up up up,顶顶顶顶,,,,,,,,,,,顶 一下顶顶顶顶,[0_2_3_4_5],,
350,up 一下 up up up,3,up,顶,up up up,顶顶顶顶,,,,,,,,,,,顶 一下 顶顶顶顶,[0_2_3_4],,
351,房子 位于 greenfield ave ， 紧邻 giant eagle and murry ave .,3,greenfield ave,格林菲尔德街,giant eagle and murry,大老鹰和默理,,,,,,,,,,,房子 位于 格林菲尔德街， 紧邻 大老鹰 和默理街.,[2_3_6_7_8_9_10],[4_11],[ave]
352,地处 north oakland ， 周围 安全,2,north oakland,北,,,,,,,,,,,,,地处 北奥克兰 ， 周围 安全,[1_2],[3],
353,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,[2_9],[6_10],
354,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,[2_9],[6_10],
355,+ 公寓 附近 环境 安全 安静 ， office 就 在 公寓 旁边 ， 有 事 可 及时 解决 。,2,office,办公室,,,,,,,,,,,,,公寓 附近 环境 安全 安静 ， 办公室 就 在 公寓 旁边 ， 有 事 可 及时 解决 。,[7],[0_6_12_18],
356,+ 公寓 家具 齐全 ， 客厅 很 大 活动 区域 广 ， 有 空调 暖气 ， 出租 的 卧室 宽敞 有 阳光 ， 有 walk-in closet ， 家具 低价 打包 接手 ， 可 拎包 入住 ！,2,closet,衣橱,,,,,,,,,,,,,公寓 家具 齐全 ， 客厅 很 大 活动 区域 广 ， 有 空调 暖气 ， 出租 的 卧室 宽敞 有 阳光 ， 有 walk-in 壁橱 ， 家具 低价 打包 接手 ， 可 拎包 入住 ！,[25],[0_4_11_15_22_26_31_35],
357,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,2,return,送回,,,,,,,,,,,,,所有 想 寄 想 送回 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,[4],[7_15],
358,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,2,view,风景,,,,,,,,,,,,,免费 送 顶楼 风景和 顶楼 的 阳光 普照 !,[3],[9],
359,附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,4,sichuan gourmet,府河人家,every day noodle,天天 见面 ,panda,熊猫,giant eagle ， ,大老鹰 ， ,,,,,,,附近 有 府河人家 ， 台湾 味 ，天天 见面 ， 各 种 小吃 ， 以及 中 超 熊猫， 大老鹰 。,[2_3_8_9_10_19_21_22],[4_7_11_15_20_23],
360,步行 五 分钟 有 whole food 。,2,whole food,全食,,,,,,,,,,,,,步行 五 分钟 有 全食。,[4_5],[6],
361,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
362,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
363,环境 ： 住宅 街区 ， free parking 。,2,free parking,免费停车,,,,,,,,,,,,,环境 ： 住宅 街区 ， 免费停车 。,[5_6],[1_4_7],
364,房型 ： house 非常 新 ， 装 修好,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅 非常 新 ， 装 修好,[2],[1_5],
365,如 有 需要 可 免费 提供 bedding set ， 餐具 厨具,2,bedding set,床上用品,,,,,,,,,,,,,如 有 需要 可 免费 提供 床上用品 ， 餐具 厨具,[6_7],[8],
366,上学 或是 去 giant eagle/cvs / whole foods 等 地 grocery shopping 都 很 便利 。,4,giant,大,whole foods,全食,grocery shopping,副食店,,,,,,,,,上学 或是 去 大老鹰/cvs（超市名） /全食 等 地副食店 都 很 便利 。,[3_6_7_10_11],[5_15],
367,全新 的 宜家 买 的 full size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,3,full size,全尺寸大小,closet,衣橱,,,,,,,,,,,全新 的 宜家 买 的全尺寸大小的 床 和 书桌 柜子 ， 房间 内 有 衣橱 。,[5_6_16],[12_17],
368,晚上 还有 escort 直达 公寓 门口 。,2,escort,护送车,,,,,,,,,,,,,晚上 还有护送车直达 公寓 门口 。,[2],[6],
369,word 天 今天 有 人 联系 我 了 ！,2,word,我的,,,,,,,,,,,,,我的天 今天 有 人 联系 我 了 ！,[0],[8],
370,lobby 有 单独 的 放 快递 的 房间 ， 不 怕 包裹 丢失 ， 非常 贴心 。,2,lobby,大厅,,,,,,,,,,,,,大厅 有 单独 的 放 快递 的 房间 ， 不 怕 包裹 丢失 ， 非常 贴心 。,[0],[8_13_16],
371,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .,[2_9],[6_10],
372,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和 市区.,[2_9],[6_10],
373,usp = sharing 国内 的 朋友 可以 联系 我 打包 图片 发给 你 ~,2,usp,need to translate,sharing = ,分享 = ,,,,,,,,,,,usp = sharing 国内 的 朋友 可以 联系 我 打包 图片 发给 你 ~,[0_2],[1_13],
374,楼层 高度 适中 ， 背 对 north craig st 。,2,north craig st,北克列戈街,,,,,,,,,,,,,楼层 高度 适中 ， 背 对 北克列戈街 。,[6_7_8],[3_9],
375,楼层 高度 适中 ， 背 对 north craig st 。,2,north craig st,北克列戈街,,,,,,,,,,,,,楼层 高度 适中 ， 背 对北克列戈街 。,[6_7_8],[3_9],
376,940 $ / 月 ， 水电 煤 暖气 全 包 ， 楼 下 有 parking lot 免费 停车 。,2,parking lot,停车场,,,,,,,,,,,,,940$ / 月 ， 水电 煤 暖气 全 包 ， 楼 下 有停车场免费 停车 。,[14_15],[1_2_4_10_18],
377,小区 环境 安静 ： 有 多 处 playground ， 很 适合 家庭 居住 。,2,playground,操场,,,,,,,,,,,,,小区 环境 安静 ： 有 多 处操场， 很 适合 家庭 居住 。,[7],[3_8_13],
378,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,3,bus,公交,downtown,市区,,,,,,,,,,,门口 有 公交 到 中国 超市 ， 餐馆 和市区 .,[2_9],[6_10],
379,地点 ： central oakland 匹 大校 区内,2,central oakland,中奥克兰,,,,,,,,,,,,,地点 ： 中奥克兰匹 大校 区内,[2_3],[1],
380,环境 ： 住宅 街区 ， street parking 。,2,street parking,路边停车,,,,,,,,,,,,,环境 ： 住宅 街区 ，路边停车。,[5_6],[1_4_7],
381,房型 ： house,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅,[2],[1],
382,有 pet 可以 商量,2,pet,宠物,,,,,,,,,,,,,有 宠物 可以 商量,[1],,
383,请 备注 “ 租房 ” screen shot 2017-10-17 at 13.,3,screen shot,截屏,at,在,,,,,,,,,,,请 备注 “ 租房 ”截屏 2017-10-17 在 13.,[5_6_8],[2_4],
384,联系 电话 or text ： 412-6518342 jane,3,or text,或者短信,jane,jane,,,,,,,,,,,联系 电话 或者短信 ： 412-6518342 jane,[2_3_6],[4],
385,长方形 带 走廊 房间 （ 走廊 带 closet ）,2,closet,衣橱,,,,,,,,,,,,,长方形 带 走廊 房间 （ 走廊 带 衣橱 ）,[7],[4_8],
386,在 shady ave .,2,shady,沙迪,,,,,,,,,,,,,在 沙迪街.,[1_2],[3],[ave]
387,和 walnut st .,2,walnut st,核桃街,,,,,,,,,,,,,和核桃街,[1_2],[3],
388,此 消息 作废 我 没 看见 怎么 删除 sorry,2,sorry,对不起,,,,,,,,,,,,,此 消息 作废 我 没 看见 怎么 删除对不起,[8],,
389,clair 医院 和 mt lebanon 公园 。,3,clair,克莱尔,mt lebanon,黎巴嫩山,,,,,,,,,,,克莱尔医院 和 黎巴嫩山 公园 。,[0_3_4],[6],
390,地址 在 ： squirrel hill murray avenue 上,2,squirrel hill murray avenue,松鼠默里街,,,,,,,,,,,,,地址 在 ： 松鼠默里街上,[3_4_5_6],[2],
391,房型 ： house 分 三 层 ， 每 层 独立 ， 互 不 影响 。,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅分 三 层 ， 每 层 独立 ， 互 不 影响 。,[2],[1_6_10_14],
392,房型 ： house 分 三 层 ， 每 层 独立 ， 互 不 影响 。,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅分 三 层 ， 每 层 独立 ， 互 不 影响 。,[2],[1_6_10_14],
393,欢迎 text ， 不 能 时时 接 电话 。,2,text,短信,,,,,,,,,,,,,欢迎短信， 不 能 时时 接 电话 。,[1],[2_8],
394,house 概况 ： 地上 两 层 、 地下 一 层 ；,2,house,住宅,,,,,,,,,,,,,独栋住宅 概况 ： 地上 两 层 、 地下 一 层 ；,[0],[2_6_10],
395,webster hall 是 老牌 公寓 了 ， 口碑 好 而且 没有 刚 装修 的 异味,2,webster hall,韦伯斯特大厅,,,,,,,,,,,,,韦伯斯特大厅是 老牌 公寓 了 ， 口碑 好 而且 没有 刚 装修 的 异味,[0_1],[6],
396,craig street 上 还有 很多 吃 的 和 韩国 小 超市,2,craig street,克列戈街,,,,,,,,,,,,,克列戈街上 还有 很多 吃 的 和 韩国 小 超市,[0_1],,
397,地点 ： central oakland,2,central oakland,中奥克兰,,,,,,,,,,,,,地点 ： 中奥克兰,[2_3],[1],
398,环境 ： 住宅 街区 ， street parking 。,2,street parking,路边停车,,,,,,,,,,,,,环境 ： 住宅 街区 ，路边停车 。,[5_6],[1_4_7],
399,房型 ： house,2,house,住宅,,,,,,,,,,,,,房型 ：  独栋住宅,[2],[1],
400,欢迎 email 咨询,2,email,电子邮件,,,,,,,,,,,,,欢迎 电子邮件 咨询,[1],,
401,房间 内 各 种 用具 桌子 都 有 ， closet 很 大 ， 客厅 和 卧室 的 独立 性 相当 ， 空间 也 很 大 ， 只 需要 一 个 床 即 可 。,2,closet,衣橱,,,,,,,,,,,,,房间 内 各 种 用具 桌子 都 有 ， 衣橱 很 大 ， 客厅 和 卧室 的 独立 性 相当 ， 空间 也 很 大 ， 只 需要 一 个 床 即 可 。,[9],[8_12_20_25_33],
402,每 个 房间 也 可以 单独 出租 ， 租金 在 $650-$700 ， 这个 租金 包含 了 所有 utilities 。,2,utilities,水电气,,,,,,,,,,,,,每 个 房间 也 可以 单独 出租 ， 租金 在 $650-$700 ， 这个 租金 包含 了 所有 水电气。,[17],[7_11_18],
403,五六 分钟 可以 走到 murray 大街 的 giant eagle ( giant eagle 是 最 大 的 食品 超级 市场 ) 家具 齐全 ，,3,murray,默里,giant eagle,大老鹰,giant eagle ( ,大老鹰 ( ,,,,,,,,,五六 分钟 可以 走到默里大街 的 大老鹰 ( 大老鹰 是 最 大 的 食品 超级 市场 ) 家具 齐全 ，,[4_7_8_10_11],[9_19_22],
404,地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,2,greenfield,格林菲尔德,,,,,,,,,,,,,地处 格林菲尔德 ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,[1],[2_6_9],
405,房间 内 各 种 用具 桌子 都 有 ， closet 很 大 ， 客厅 和 卧室 的 独立 性 相当 ， 空间 也 很 大 ， 只 需要 一 个 床 即 可 。,2,closet,衣橱,,,,,,,,,,,,,房间 内 各 种 用具 桌子 都 有 ， 衣橱 很 大 ， 客厅 和 卧室 的 独立 性 相当 ， 空间 也 很 大 ， 只 需要 一 个 床 即 可 。,[9],[8_12_20_25_33],
406,门口 有 bus 到 中国 店 等 。,2,bus,公交,,,,,,,,,,,,,门口 有 公交 到 中国 店 等 。,[2],[7],
407,要求 ： security deposit ， 爱 整洁 ， 有 责任感,2,security deposit,保证金,,,,,,,,,,,,,要求 ： 保证金 ， 爱 整洁 ， 有 责任感,[2_3],[1_4_7],
408,联系 电话 or text ： 412-6518342 jane,3,or text,或者短信,jane,简,,,,,,,,,,,联系 电话或者短信 ： 412-6518342 jane,[2_3_6],[4],
409,门口 有 bus 到 中国 店 等 。,2,bus,公交,,,,,,,,,,,,,门口 有 公交 到 中国 店 等 。,[2],[7],
410,要求 ： security deposit ， 爱 整洁 ， 有 责任感,2,security deposit,保证金,,,,,,,,,,,,,要求 ：保证金 ， 爱 整洁 ， 有 责任感,[2_3],[1_4_7],
411,地点 ： oakland ;,2,oakland,奥克兰,,,,,,,,,,,,,地点 ： 奥克兰 ;,[2],[1_3],
412,prefer ： 研究生 或 博士生,2,prefer,较为喜欢,,,,,,,,,,,,,倾向于 ： 研究生 或 博士生,[0],[1],
413,公寓 是 服务 很 好 搭 forbes management 的 财产 。,2,forbes management,福布斯物业,,,,,,,,,,,,,公寓 是 服务 很 好 搭 福布斯物业的 财产 。,[6_7],[10],
414,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,3,twin size,小号床,closet,衣橱,,,,,,,,,,,全新 的 宜家 买 的 小号 的 床 和 书桌 柜子 ， 房间 内 有 衣橱 。,[5_6_16],[12_17],
415,公寓 的 管理 非常 好 ， 有 一 个 doorman ， 每 天 出入 公寓 会 给 住户 开门 ！,2,doorman,门卫,,,,,,,,,,,,,公寓 的 管理 非常 好 ， 有 一 个 门卫， 每 天 出入 公寓 会 给 住户 开门 ！,[9],[5_10_19],
416,whole foods 是 我 去 的 最 频繁 的 超市 ， 因为 里边 只 卖 有机 食品 ， 质量 有 保证 。,2,whole foods,全食,,,,,,,,,,,,,全食 是 我 去 的 最 频繁 的 超市 ， 因为 里边 只 卖 有机 食品 ， 质量 有 保证 。,[0_1],[10_17_21],
417,欢迎 感兴趣 的 妹子 联系 我 拿 floor plan 和 各 种 房子 图片 ~,2,floor plan,平面图,,,,,,,,,,,,,欢迎 感兴趣 的 妹子 联系 我 拿 平面图 和 各 种 房子 图片 ~,[7_8],[14],
418,距离 大 超市 giant eagle 很 近 ， 周围 有 超 多 饭馆 （ 包括 中餐 ） ， 还有 银行 等 。,2,giant eagle,大老鹰,,,,,,,,,,,,,距离 大 超市 大老鹰 很 近 ， 周围 有 超 多 饭馆 （ 包括 中餐 ） ， 还有 银行 等 。,[3_4],[7_13_16_17_21],
419,暖气 是 用 gas 的 ， 不用 担心,2,gas,气,,,,,,,,,,,,,暖气 是 用气 的 ， 不用 担心,[3],[5],
420,欢迎 text ， 不 能 时时 接 电话 。,2,text,短信,,,,,,,,,,,,,欢迎短信， 不 能 时时 接 电话 。,[1],[2_8],
421,步行 距离 去 美国 超市 （ giant eagle ） 和 中国 超市 （ panda supermarket ）,3,giant eagle,大老鹰,panda supermarket,熊猫超市,,,,,,,,,,,步行 距离 去 美国 超市 （ 大老鹰 ） 和 中国 超市 （ 熊猫超市）,[6_7_13_14],[5_8_12_15],
422,如 感 兴趣 ， 请 发 邮件 : yan em@18,2,yan,严,,,,,,,,,,,,,如 感 兴趣 ， 请 发 邮件 : yan em@18,[8],[3_7_9],
423,地点 ： north oakland/shadyside,2,north,北,,,,,,,,,,,,,地点 ： 北奥克兰/沙迪,[2],[1],
424,房型 ： house 有 院子,2,house,住宅,,,,,,,,,,,,,房型 ： 独栋住宅 有 院子,[2],[1],
425,欢迎 email 咨询,2,email,电子邮件,,,,,,,,,,,,,欢迎 电子邮件 咨询,[1],,
426,位 于 north craig st 上 的 两 室 一 厅 公寓 招租 ， 长 租 优先 ， 长短 租 均 可 。,2,north craig st,北克列戈街,,,,,,,,,,,,,位 于 北克列戈街 上 的 两 室 一 厅 公寓 招租 ， 长 租 优先 ， 长短 租 均 可 。,[2_3_4],[13_17_22],
427,来回 都 没有 traffic .,2,traffic,交通,,,,,,,,,,,,,来回 都 没有交通 .,[3],[4],
428,公寓 有 off street parking 且 允许 养 宠物 。,2,off street parking,露天停车,,,,,,,,,,,,,公寓 有 露天停车 且 允许 养 宠物 。,[2_3_4],[9],
429,小区 居民 是 匹 大学生 和 年轻 学者 以及 美国 白人 等 ， 学校 的 shuttle 从 门前 经过 。,2,shuttle,摆渡车,,,,,,,,,,,,,小区 居民 是 匹 大学生 和 年轻 学者 以及 美国 白人 等 ， 学校 的 摆渡车 从 门前 经过 。,[15],[12_19],
430,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,客厅,dining room ， ,餐厅 ， ,,,,,,,,,,,户型 ： 一 楼 是 超大客厅 ， 餐厅 及 厨房 ；,[6_7_9_10],[1_8_13],
